Driver,Team,GridPosition,Position,ClassifiedPosition,Status,Points,Season,Race,RoundNumber
LEC,Ferrari,1.0,1.0,1,Finished,26.0,2022,Bahrain Grand Prix,1
SAI,Ferrari,3.0,2.0,2,Finished,18.0,2022,Bahrain Grand Prix,1
HAM,Mercedes,5.0,3.0,3,Finished,15.0,2022,Bahrain Grand Prix,1
RUS,Mercedes,9.0,4.0,4,Finished,12.0,2022,Bahrain Grand Prix,1
MAG,Haas F1 Team,7.0,5.0,5,Finished,10.0,2022,Bahrain Grand Prix,1
BOT,Alfa Romeo,6.0,6.0,6,Finished,8.0,2022,Bahrain Grand Prix,1
OCO,Alpine,11.0,7.0,7,Finished,6.0,2022,Bahrain Grand Prix,1
TSU,AlphaTauri,16.0,8.0,8,Finished,4.0,2022,Bahrain Grand Prix,1
ALO,Alpine,8.0,9.0,9,Finished,2.0,2022,Bahrain Grand Prix,1
ZHO,Alfa Romeo,15.0,10.0,10,Finished,1.0,2022,Bahrain Grand Prix,1
MSC,Haas F1 Team,12.0,11.0,11,Finished,0.0,2022,Bahrain Grand Prix,1
STR,Aston Martin,19.0,12.0,12,Finished,0.0,2022,Bahrain Grand Prix,1
ALB,Williams,14.0,13.0,13,Finished,0.0,2022,Bahrain Grand Prix,1
RIC,McLaren,18.0,14.0,14,Finished,0.0,2022,Bahrain Grand Prix,1
NOR,McLaren,13.0,15.0,15,Finished,0.0,2022,Bahrain Grand Prix,1
LAT,Williams,20.0,16.0,16,Finished,0.0,2022,Bahrain Grand Prix,1
HUL,Aston Martin,17.0,17.0,17,Finished,0.0,2022,Bahrain Grand Prix,1
PER,Red Bull Racing,4.0,18.0,18,Fuel pressure,0.0,2022,Bahrain Grand Prix,1
VER,Red Bull Racing,2.0,19.0,19,Fuel pressure,0.0,2022,Bahrain Grand Prix,1
GAS,AlphaTauri,10.0,20.0,R,Power Unit,0.0,2022,Bahrain Grand Prix,1
VER,Red Bull Racing,4.0,1.0,1,Finished,25.0,2022,Saudi Arabian Grand Prix,2
LEC,Ferrari,2.0,2.0,2,Finished,19.0,2022,Saudi Arabian Grand Prix,2
SAI,Ferrari,3.0,3.0,3,Finished,15.0,2022,Saudi Arabian Grand Prix,2
PER,Red Bull Racing,1.0,4.0,4,Finished,12.0,2022,Saudi Arabian Grand Prix,2
RUS,Mercedes,6.0,5.0,5,Finished,10.0,2022,Saudi Arabian Grand Prix,2
OCO,Alpine,5.0,6.0,6,Finished,8.0,2022,Saudi Arabian Grand Prix,2
NOR,McLaren,11.0,7.0,7,Finished,6.0,2022,Saudi Arabian Grand Prix,2
GAS,AlphaTauri,9.0,8.0,8,Finished,4.0,2022,Saudi Arabian Grand Prix,2
MAG,Haas F1 Team,10.0,9.0,9,Finished,2.0,2022,Saudi Arabian Grand Prix,2
HAM,Mercedes,15.0,10.0,10,Finished,1.0,2022,Saudi Arabian Grand Prix,2
ZHO,Alfa Romeo,12.0,11.0,11,Finished,0.0,2022,Saudi Arabian Grand Prix,2
HUL,Aston Martin,17.0,12.0,12,Finished,0.0,2022,Saudi Arabian Grand Prix,2
STR,Aston Martin,13.0,13.0,13,+1 Lap,0.0,2022,Saudi Arabian Grand Prix,2
ALB,Williams,16.0,14.0,14,Collision damage,0.0,2022,Saudi Arabian Grand Prix,2
BOT,Alfa Romeo,8.0,15.0,R,Cooling system,0.0,2022,Saudi Arabian Grand Prix,2
ALO,Alpine,7.0,16.0,R,Water pump,0.0,2022,Saudi Arabian Grand Prix,2
RIC,McLaren,14.0,17.0,R,Gearbox,0.0,2022,Saudi Arabian Grand Prix,2
LAT,Williams,18.0,18.0,R,Accident,0.0,2022,Saudi Arabian Grand Prix,2
TSU,AlphaTauri,19.0,19.0,R,Power Unit,0.0,2022,Saudi Arabian Grand Prix,2
MSC,Haas F1 Team,,,W,Withdrew,0.0,2022,Saudi Arabian Grand Prix,2
LEC,Ferrari,1.0,1.0,1,Finished,26.0,2022,Australian Grand Prix,3
PER,Red Bull Racing,3.0,2.0,2,Finished,18.0,2022,Australian Grand Prix,3
RUS,Mercedes,6.0,3.0,3,Finished,15.0,2022,Australian Grand Prix,3
HAM,Mercedes,5.0,4.0,4,Finished,12.0,2022,Australian Grand Prix,3
NOR,McLaren,4.0,5.0,5,Finished,10.0,2022,Australian Grand Prix,3
RIC,McLaren,7.0,6.0,6,Finished,8.0,2022,Australian Grand Prix,3
OCO,Alpine,8.0,7.0,7,Finished,6.0,2022,Australian Grand Prix,3
BOT,Alfa Romeo,12.0,8.0,8,Finished,4.0,2022,Australian Grand Prix,3
GAS,AlphaTauri,11.0,9.0,9,Finished,2.0,2022,Australian Grand Prix,3
ALB,Williams,20.0,10.0,10,Finished,1.0,2022,Australian Grand Prix,3
ZHO,Alfa Romeo,14.0,11.0,11,Finished,0.0,2022,Australian Grand Prix,3
STR,Aston Martin,19.0,12.0,12,Finished,0.0,2022,Australian Grand Prix,3
MSC,Haas F1 Team,15.0,13.0,13,+1 Lap,0.0,2022,Australian Grand Prix,3
MAG,Haas F1 Team,16.0,14.0,14,+1 Lap,0.0,2022,Australian Grand Prix,3
TSU,AlphaTauri,13.0,15.0,15,+1 Lap,0.0,2022,Australian Grand Prix,3
LAT,Williams,18.0,16.0,16,+1 Lap,0.0,2022,Australian Grand Prix,3
ALO,Alpine,10.0,17.0,17,+1 Lap,0.0,2022,Australian Grand Prix,3
VER,Red Bull Racing,2.0,18.0,R,Fuel leak,0.0,2022,Australian Grand Prix,3
VET,Aston Martin,17.0,19.0,R,Accident,0.0,2022,Australian Grand Prix,3
SAI,Ferrari,9.0,20.0,R,Spun off,0.0,2022,Australian Grand Prix,3
VER,Red Bull Racing,1.0,1.0,1,Finished,26.0,2022,Emilia Romagna Grand Prix,4
PER,Red Bull Racing,3.0,2.0,2,Finished,18.0,2022,Emilia Romagna Grand Prix,4
NOR,McLaren,5.0,3.0,3,Finished,15.0,2022,Emilia Romagna Grand Prix,4
RUS,Mercedes,11.0,4.0,4,Finished,12.0,2022,Emilia Romagna Grand Prix,4
BOT,Alfa Romeo,7.0,5.0,5,Finished,10.0,2022,Emilia Romagna Grand Prix,4
LEC,Ferrari,2.0,6.0,6,Finished,8.0,2022,Emilia Romagna Grand Prix,4
TSU,AlphaTauri,12.0,7.0,7,Finished,6.0,2022,Emilia Romagna Grand Prix,4
VET,Aston Martin,13.0,8.0,8,Finished,4.0,2022,Emilia Romagna Grand Prix,4
MAG,Haas F1 Team,8.0,9.0,9,Finished,2.0,2022,Emilia Romagna Grand Prix,4
STR,Aston Martin,15.0,10.0,10,+1 Lap,1.0,2022,Emilia Romagna Grand Prix,4
ALB,Williams,18.0,11.0,11,+1 Lap,0.0,2022,Emilia Romagna Grand Prix,4
GAS,AlphaTauri,17.0,12.0,12,+1 Lap,0.0,2022,Emilia Romagna Grand Prix,4
HAM,Mercedes,14.0,13.0,13,+1 Lap,0.0,2022,Emilia Romagna Grand Prix,4
OCO,Alpine,16.0,14.0,14,+1 Lap,0.0,2022,Emilia Romagna Grand Prix,4
ZHO,Alfa Romeo,0.0,15.0,15,+1 Lap,0.0,2022,Emilia Romagna Grand Prix,4
LAT,Williams,19.0,16.0,16,+1 Lap,0.0,2022,Emilia Romagna Grand Prix,4
MSC,Haas F1 Team,10.0,17.0,17,+1 Lap,0.0,2022,Emilia Romagna Grand Prix,4
RIC,McLaren,6.0,18.0,18,+1 Lap,0.0,2022,Emilia Romagna Grand Prix,4
ALO,Alpine,9.0,19.0,R,Collision damage,0.0,2022,Emilia Romagna Grand Prix,4
SAI,Ferrari,4.0,20.0,R,Collision,0.0,2022,Emilia Romagna Grand Prix,4
VER,Red Bull Racing,3.0,1.0,1,Finished,26.0,2022,Miami Grand Prix,5
LEC,Ferrari,1.0,2.0,2,Finished,18.0,2022,Miami Grand Prix,5
SAI,Ferrari,2.0,3.0,3,Finished,15.0,2022,Miami Grand Prix,5
PER,Red Bull Racing,4.0,4.0,4,Finished,12.0,2022,Miami Grand Prix,5
RUS,Mercedes,12.0,5.0,5,Finished,10.0,2022,Miami Grand Prix,5
HAM,Mercedes,6.0,6.0,6,Finished,8.0,2022,Miami Grand Prix,5
BOT,Alfa Romeo,5.0,7.0,7,Finished,6.0,2022,Miami Grand Prix,5
OCO,Alpine,20.0,8.0,8,Finished,4.0,2022,Miami Grand Prix,5
ALB,Williams,18.0,9.0,9,Finished,2.0,2022,Miami Grand Prix,5
STR,Aston Martin,0.0,10.0,10,Finished,1.0,2022,Miami Grand Prix,5
ALO,Alpine,11.0,11.0,11,Finished,0.0,2022,Miami Grand Prix,5
TSU,AlphaTauri,9.0,12.0,12,Finished,0.0,2022,Miami Grand Prix,5
RIC,McLaren,14.0,13.0,13,Finished,0.0,2022,Miami Grand Prix,5
LAT,Williams,19.0,14.0,14,Finished,0.0,2022,Miami Grand Prix,5
MSC,Haas F1 Team,15.0,15.0,15,Finished,0.0,2022,Miami Grand Prix,5
MAG,Haas F1 Team,16.0,16.0,16,Front wing,0.0,2022,Miami Grand Prix,5
VET,Aston Martin,0.0,17.0,17,Collision,0.0,2022,Miami Grand Prix,5
GAS,AlphaTauri,7.0,18.0,R,Suspension,0.0,2022,Miami Grand Prix,5
NOR,McLaren,8.0,19.0,R,Collision,0.0,2022,Miami Grand Prix,5
ZHO,Alfa Romeo,17.0,20.0,R,Water leak,0.0,2022,Miami Grand Prix,5
VER,Red Bull Racing,2.0,1.0,1,Finished,25.0,2022,Spanish Grand Prix,6
PER,Red Bull Racing,5.0,2.0,2,Finished,19.0,2022,Spanish Grand Prix,6
RUS,Mercedes,4.0,3.0,3,Finished,15.0,2022,Spanish Grand Prix,6
SAI,Ferrari,3.0,4.0,4,Finished,12.0,2022,Spanish Grand Prix,6
HAM,Mercedes,6.0,5.0,5,Finished,10.0,2022,Spanish Grand Prix,6
BOT,Alfa Romeo,7.0,6.0,6,Finished,8.0,2022,Spanish Grand Prix,6
OCO,Alpine,12.0,7.0,7,Finished,6.0,2022,Spanish Grand Prix,6
NOR,McLaren,11.0,8.0,8,Finished,4.0,2022,Spanish Grand Prix,6
ALO,Alpine,20.0,9.0,9,+1 Lap,2.0,2022,Spanish Grand Prix,6
TSU,AlphaTauri,13.0,10.0,10,+1 Lap,1.0,2022,Spanish Grand Prix,6
VET,Aston Martin,16.0,11.0,11,+1 Lap,0.0,2022,Spanish Grand Prix,6
RIC,McLaren,9.0,12.0,12,+1 Lap,0.0,2022,Spanish Grand Prix,6
GAS,AlphaTauri,14.0,13.0,13,+1 Lap,0.0,2022,Spanish Grand Prix,6
MSC,Haas F1 Team,10.0,14.0,14,+1 Lap,0.0,2022,Spanish Grand Prix,6
STR,Aston Martin,17.0,15.0,15,+1 Lap,0.0,2022,Spanish Grand Prix,6
LAT,Williams,19.0,16.0,16,+2 Laps,0.0,2022,Spanish Grand Prix,6
MAG,Haas F1 Team,8.0,17.0,17,+2 Laps,0.0,2022,Spanish Grand Prix,6
