Driver,Team,GridPosition,Position,ClassifiedPosition,Status,Points,Season,Race,RoundNumber
VET,Ferrari,3.0,1.0,1,Finished,25.0,2018,Australian Grand Prix,1
HAM,Mercedes,1.0,2.0,2,Finished,18.0,2018,Australian Grand Prix,1
RAI,Ferrari,2.0,3.0,3,Finished,15.0,2018,Australian Grand Prix,1
RIC,Red Bull Racing,8.0,4.0,4,Finished,12.0,2018,Australian Grand Prix,1
ALO,McLaren,10.0,5.0,5,Finished,10.0,2018,Australian Grand Prix,1
VER,Red Bull Racing,4.0,6.0,6,Finished,8.0,2018,Australian Grand Prix,1
HUL,Renault,7.0,7.0,7,Finished,6.0,2018,Australian Grand Prix,1
BOT,Mercedes,15.0,8.0,8,Finished,4.0,2018,Australian Grand Prix,1
VAN,McLaren,11.0,9.0,9,Finished,2.0,2018,Australian Grand Prix,1
SAI,Renault,9.0,10.0,10,Finished,1.0,2018,Australian Grand Prix,1
PER,Force India,12.0,11.0,11,Finished,0.0,2018,Australian Grand Prix,1
OCO,Force India,14.0,12.0,12,Finished,0.0,2018,Australian Grand Prix,1
LEC,Sauber,18.0,13.0,13,Finished,0.0,2018,Australian Grand Prix,1
STR,Williams,13.0,14.0,14,Finished,0.0,2018,Australian Grand Prix,1
HAR,Toro Rosso,16.0,15.0,15,+1 Lap,0.0,2018,Australian Grand Prix,1
GRO,Haas F1 Team,6.0,16.0,R,Wheel,0.0,2018,Australian Grand Prix,1
MAG,Haas F1 Team,5.0,17.0,R,Wheel,0.0,2018,Australian Grand Prix,1
GAS,Toro Rosso,20.0,18.0,R,Engine,0.0,2018,Australian Grand Prix,1
ERI,Sauber,17.0,19.0,R,Steering,0.0,2018,Australian Grand Prix,1
SIR,Williams,19.0,20.0,R,Brakes,0.0,2018,Australian Grand Prix,1
VET,Ferrari,1.0,1.0,1,Finished,25.0,2018,Bahrain Grand Prix,2
BOT,Mercedes,3.0,2.0,2,Finished,18.0,2018,Bahrain Grand Prix,2
HAM,Mercedes,9.0,3.0,3,Finished,15.0,2018,Bahrain Grand Prix,2
GAS,Toro Rosso,5.0,4.0,4,Finished,12.0,2018,Bahrain Grand Prix,2
MAG,Haas F1 Team,6.0,5.0,5,Finished,10.0,2018,Bahrain Grand Prix,2
HUL,Renault,7.0,6.0,6,Finished,8.0,2018,Bahrain Grand Prix,2
ALO,McLaren,13.0,7.0,7,+1 Lap,6.0,2018,Bahrain Grand Prix,2
VAN,McLaren,14.0,8.0,8,+1 Lap,4.0,2018,Bahrain Grand Prix,2
ERI,Sauber,17.0,9.0,9,+1 Lap,2.0,2018,Bahrain Grand Prix,2
OCO,Force India,8.0,10.0,10,+1 Lap,1.0,2018,Bahrain Grand Prix,2
SAI,Renault,10.0,11.0,11,+1 Lap,0.0,2018,Bahrain Grand Prix,2
LEC,Sauber,19.0,12.0,12,+1 Lap,0.0,2018,Bahrain Grand Prix,2
GRO,Haas F1 Team,16.0,13.0,13,+1 Lap,0.0,2018,Bahrain Grand Prix,2
STR,Williams,20.0,14.0,14,+1 Lap,0.0,2018,Bahrain Grand Prix,2
SIR,Williams,18.0,15.0,15,+1 Lap,0.0,2018,Bahrain Grand Prix,2
PER,Force India,12.0,16.0,16,+1 Lap,0.0,2018,Bahrain Grand Prix,2
HAR,Toro Rosso,11.0,17.0,17,+1 Lap,0.0,2018,Bahrain Grand Prix,2
RAI,Ferrari,2.0,18.0,R,Wheel,0.0,2018,Bahrain Grand Prix,2
VER,Red Bull Racing,15.0,19.0,R,Puncture,0.0,2018,Bahrain Grand Prix,2
RIC,Red Bull Racing,4.0,20.0,R,Electrical,0.0,2018,Bahrain Grand Prix,2
RIC,Red Bull Racing,6.0,1.0,1,Finished,25.0,2018,Chinese Grand Prix,3
BOT,Mercedes,3.0,2.0,2,Finished,18.0,2018,Chinese Grand Prix,3
RAI,Ferrari,2.0,3.0,3,Finished,15.0,2018,Chinese Grand Prix,3
HAM,Mercedes,4.0,4.0,4,Finished,12.0,2018,Chinese Grand Prix,3
VER,Red Bull Racing,5.0,5.0,5,Finished,10.0,2018,Chinese Grand Prix,3
HUL,Renault,7.0,6.0,6,Finished,8.0,2018,Chinese Grand Prix,3
ALO,McLaren,13.0,7.0,7,Finished,6.0,2018,Chinese Grand Prix,3
VET,Ferrari,1.0,8.0,8,Finished,4.0,2018,Chinese Grand Prix,3
SAI,Renault,9.0,9.0,9,Finished,2.0,2018,Chinese Grand Prix,3
MAG,Haas F1 Team,11.0,10.0,10,Finished,1.0,2018,Chinese Grand Prix,3
OCO,Force India,12.0,11.0,11,Finished,0.0,2018,Chinese Grand Prix,3
PER,Force India,8.0,12.0,12,Finished,0.0,2018,Chinese Grand Prix,3
VAN,McLaren,14.0,13.0,13,Finished,0.0,2018,Chinese Grand Prix,3
STR,Williams,18.0,14.0,14,Finished,0.0,2018,Chinese Grand Prix,3
SIR,Williams,16.0,15.0,15,Finished,0.0,2018,Chinese Grand Prix,3
ERI,Sauber,20.0,16.0,16,Finished,0.0,2018,Chinese Grand Prix,3
GRO,Haas F1 Team,10.0,17.0,17,Finished,0.0,2018,Chinese Grand Prix,3
GAS,Toro Rosso,17.0,18.0,18,Finished,0.0,2018,Chinese Grand Prix,3
LEC,Sauber,19.0,19.0,19,Finished,0.0,2018,Chinese Grand Prix,3
HAR,Toro Rosso,15.0,20.0,20,Collision damage,0.0,2018,Chinese Grand Prix,3
HAM,Mercedes,2.0,1.0,1,Finished,25.0,2018,Azerbaijan Grand Prix,4
RAI,Ferrari,6.0,2.0,2,Finished,18.0,2018,Azerbaijan Grand Prix,4
PER,Force India,8.0,3.0,3,Finished,15.0,2018,Azerbaijan Grand Prix,4
VET,Ferrari,1.0,4.0,4,Finished,12.0,2018,Azerbaijan Grand Prix,4
SAI,Renault,9.0,5.0,5,Finished,10.0,2018,Azerbaijan Grand Prix,4
LEC,Sauber,13.0,6.0,6,Finished,8.0,2018,Azerbaijan Grand Prix,4
ALO,McLaren,12.0,7.0,7,Finished,6.0,2018,Azerbaijan Grand Prix,4
STR,Williams,10.0,8.0,8,Finished,4.0,2018,Azerbaijan Grand Prix,4
VAN,McLaren,16.0,9.0,9,Finished,2.0,2018,Azerbaijan Grand Prix,4
HAR,Toro Rosso,19.0,10.0,10,Finished,1.0,2018,Azerbaijan Grand Prix,4
ERI,Sauber,18.0,11.0,11,Finished,0.0,2018,Azerbaijan Grand Prix,4
GAS,Toro Rosso,17.0,12.0,12,Finished,0.0,2018,Azerbaijan Grand Prix,4
MAG,Haas F1 Team,15.0,13.0,13,Finished,0.0,2018,Azerbaijan Grand Prix,4
BOT,Mercedes,3.0,14.0,R,Puncture,0.0,2018,Azerbaijan Grand Prix,4
GRO,Haas F1 Team,20.0,15.0,R,Accident,0.0,2018,Azerbaijan Grand Prix,4
VER,Red Bull Racing,5.0,16.0,R,Collision,0.0,2018,Azerbaijan Grand Prix,4
RIC,Red Bull Racing,4.0,17.0,R,Collision,0.0,2018,Azerbaijan Grand Prix,4
HUL,Renault,14.0,18.0,R,Accident,0.0,2018,Azerbaijan Grand Prix,4
OCO,Force India,7.0,19.0,R,Collision,0.0,2018,Azerbaijan Grand Prix,4
SIR,Williams,11.0,20.0,R,Collision,0.0,2018,Azerbaijan Grand Prix,4
HAM,Mercedes,1.0,1.0,1,Finished,25.0,2018,Spanish Grand Prix,5
BOT,Mercedes,2.0,2.0,2,Finished,18.0,2018,Spanish Grand Prix,5
VER,Red Bull Racing,5.0,3.0,3,Finished,15.0,2018,Spanish Grand Prix,5
VET,Ferrari,3.0,4.0,4,Finished,12.0,2018,Spanish Grand Prix,5
RIC,Red Bull Racing,6.0,5.0,5,Finished,10.0,2018,Spanish Grand Prix,5
MAG,Haas F1 Team,7.0,6.0,6,+1 Lap,8.0,2018,Spanish Grand Prix,5
SAI,Renault,9.0,7.0,7,+1 Lap,6.0,2018,Spanish Grand Prix,5
ALO,McLaren,8.0,8.0,8,+1 Lap,4.0,2018,Spanish Grand Prix,5
PER,Force India,15.0,9.0,9,+2 Laps,2.0,2018,Spanish Grand Prix,5
LEC,Sauber,14.0,10.0,10,+2 Laps,1.0,2018,Spanish Grand Prix,5
STR,Williams,18.0,11.0,11,+2 Laps,0.0,2018,Spanish Grand Prix,5
HAR,Toro Rosso,20.0,12.0,12,+2 Laps,0.0,2018,Spanish Grand Prix,5
ERI,Sauber,17.0,13.0,13,+2 Laps,0.0,2018,Spanish Grand Prix,5
SIR,Williams,19.0,14.0,14,+3 Laps,0.0,2018,Spanish Grand Prix,5
VAN,McLaren,11.0,15.0,R,Gearbox,0.0,2018,Spanish Grand Prix,5
OCO,Force India,13.0,16.0,R,Oil leak,0.0,2018,Spanish Grand Prix,5
RAI,Ferrari,4.0,17.0,R,Turbo,0.0,2018,Spanish Grand Prix,5
GRO,Haas F1 Team,10.0,18.0,R,Collision,0.0,2018,Spanish Grand Prix,5
GAS,Toro Rosso,12.0,19.0,R,Collision,0.0,2018,Spanish Grand Prix,5
HUL,Renault,16.0,20.0,R,Collision,0.0,2018,Spanish Grand Prix,5
RIC,Red Bull Racing,1.0,1.0,1,Finished,25.0,2018,Monaco Grand Prix,6
VET,Ferrari,2.0,2.0,2,Finished,18.0,2018,Monaco Grand Prix,6
HAM,Mercedes,3.0,3.0,3,Finished,15.0,2018,Monaco Grand Prix,6
RAI,Ferrari,4.0,4.0,4,Finished,12.0,2018,Monaco Grand Prix,6
BOT,Mercedes,5.0,5.0,5,Finished,10.0,2018,Monaco Grand Prix,6
OCO,Force India,6.0,6.0,6,Finished,8.0,2018,Monaco Grand Prix,6
GAS,Toro Rosso,10.0,7.0,7,Finished,6.0,2018,Monaco Grand Prix,6
HUL,Renault,11.0,8.0,8,Finished,4.0,2018,Monaco Grand Prix,6
VER,Red Bull Racing,20.0,9.0,9,Finished,2.0,2018,Monaco Grand Prix,6
SAI,Renault,8.0,10.0,10,Finished,1.0,2018,Monaco Grand Prix,6
ERI,Sauber,16.0,11.0,11,Finished,0.0,2018,Monaco Grand Prix,6
PER,Force India,9.0,12.0,12,Finished,0.0,2018,Monaco Grand Prix,6
MAG,Haas F1 Team,19.0,13.0,13,Finished,0.0,2018,Monaco Grand Prix,6
VAN,McLaren,12.0,14.0,14,+1 Lap,0.0,2018,Monaco Grand Prix,6
GRO,Haas F1 Team,18.0,15.0,15,+1 Lap,0.0,2018,Monaco Grand Prix,6
SIR,Williams,13.0,16.0,16,+1 Lap,0.0,2018,Monaco Grand Prix,6
STR,Williams,17.0,17.0,17,+2 Laps,0.0,2018,Monaco Grand Prix,6
LEC,Sauber,14.0,18.0,R,Collision,0.0,2018,Monaco Grand Prix,6
HAR,Toro Rosso,15.0,19.0,R,Collision,0.0,2018,Monaco Grand Prix,6
ALO,McLaren,7.0,20.0,R,Gearbox,0.0,2018,Monaco Grand Prix,6
VET,Ferrari,1.0,1.0,1,Finished,25.0,2018,Canadian Grand Prix,7
BOT,Mercedes,2.0,2.0,2,Finished,18.0,2018,Canadian Grand Prix,7
VER,Red Bull Racing,3.0,3.0,3,Finished,15.0,2018,Canadian Grand Prix,7
RIC,Red Bull Racing,6.0,4.0,4,Finished,12.0,2018,Canadian Grand Prix,7
HAM,Mercedes,4.0,5.0,5,Finished,10.0,2018,Canadian Grand Prix,7
RAI,Ferrari,5.0,6.0,6,Finished,8.0,2018,Canadian Grand Prix,7
HUL,Renault,7.0,7.0,7,+1 Lap,6.0,2018,Canadian Grand Prix,7
SAI,Renault,9.0,8.0,8,+1 Lap,4.0,2018,Canadian Grand Prix,7
OCO,Force India,8.0,9.0,9,+1 Lap,2.0,2018,Canadian Grand Prix,7
LEC,Sauber,13.0,10.0,10,+1 Lap,1.0,2018,Canadian Grand Prix,7
GAS,Toro Rosso,16.0,11.0,11,+1 Lap,0.0,2018,Canadian Grand Prix,7
GRO,Haas F1 Team,20.0,12.0,12,+1 Lap,0.0,2018,Canadian Grand Prix,7
MAG,Haas F1 Team,11.0,13.0,13,+1 Lap,0.0,2018,Canadian Grand Prix,7
PER,Force India,10.0,14.0,14,+1 Lap,0.0,2018,Canadian Grand Prix,7
ERI,Sauber,19.0,15.0,15,+2 Laps,0.0,2018,Canadian Grand Prix,7
VAN,McLaren,15.0,16.0,16,+2 Laps,0.0,2018,Canadian Grand Prix,7
SIR,Williams,18.0,17.0,17,+2 Laps,0.0,2018,Canadian Grand Prix,7
ALO,McLaren,14.0,18.0,R,Exhaust,0.0,2018,Canadian Grand Prix,7
HAR,Toro Rosso,12.0,19.0,R,Collision,0.0,2018,Canadian Grand Prix,7
STR,Williams,17.0,20.0,R,Collision,0.0,2018,Canadian Grand Prix,7
HAM,Mercedes,1.0,1.0,1,Finished,25.0,2018,French Grand Prix,8
VER,Red Bull Racing,4.0,2.0,2,Finished,18.0,2018,French Grand Prix,8
RAI,Ferrari,6.0,3.0,3,Finished,15.0,2018,French Grand Prix,8
RIC,Red Bull Racing,5.0,4.0,4,Finished,12.0,2018,French Grand Prix,8
VET,Ferrari,3.0,5.0,5,Finished,10.0,2018,French Grand Prix,8
MAG,Haas F1 Team,9.0,6.0,6,Finished,8.0,2018,French Grand Prix,8
BOT,Mercedes,2.0,7.0,7,Finished,6.0,2018,French Grand Prix,8
SAI,Renault,7.0,8.0,8,Finished,4.0,2018,French Grand Prix,8
HUL,Renault,12.0,9.0,9,Finished,2.0,2018,French Grand Prix,8
LEC,Sauber,8.0,10.0,10,Finished,1.0,2018,French Grand Prix,8
GRO,Haas F1 Team,10.0,11.0,11,+1 Lap,0.0,2018,French Grand Prix,8
VAN,McLaren,17.0,12.0,12,+1 Lap,0.0,2018,French Grand Prix,8
ERI,Sauber,15.0,13.0,13,+1 Lap,0.0,2018,French Grand Prix,8
HAR,Toro Rosso,20.0,14.0,14,+1 Lap,0.0,2018,French Grand Prix,8
SIR,Williams,18.0,15.0,15,+1 Lap,0.0,2018,French Grand Prix,8
ALO,McLaren,16.0,16.0,16,Wheel,0.0,2018,French Grand Prix,8
STR,Williams,19.0,17.0,17,Puncture,0.0,2018,French Grand Prix,8
PER,Force India,13.0,18.0,R,Engine,0.0,2018,French Grand Prix,8
OCO,Force India,11.0,19.0,R,Collision,0.0,2018,French Grand Prix,8
GAS,Toro Rosso,14.0,20.0,R,Collision,0.0,2018,French Grand Prix,8
VER,Red Bull Racing,4.0,1.0,1,Finished,25.0,2018,Austrian Grand Prix,9
RAI,Ferrari,3.0,2.0,2,Finished,18.0,2018,Austrian Grand Prix,9
VET,Ferrari,6.0,3.0,3,Finished,15.0,2018,Austrian Grand Prix,9
GRO,Haas F1 Team,5.0,4.0,4,+1 Lap,12.0,2018,Austrian Grand Prix,9
MAG,Haas F1 Team,8.0,5.0,5,+1 Lap,10.0,2018,Austrian Grand Prix,9
OCO,Force India,11.0,6.0,6,+1 Lap,8.0,2018,Austrian Grand Prix,9
PER,Force India,16.0,7.0,7,+1 Lap,6.0,2018,Austrian Grand Prix,9
ALO,McLaren,13.0,8.0,8,+1 Lap,4.0,2018,Austrian Grand Prix,9
LEC,Sauber,18.0,9.0,9,+1 Lap,2.0,2018,Austrian Grand Prix,9
ERI,Sauber,20.0,10.0,10,+1 Lap,1.0,2018,Austrian Grand Prix,9
GAS,Toro Rosso,12.0,11.0,11,+1 Lap,0.0,2018,Austrian Grand Prix,9
SAI,Renault,9.0,12.0,12,+1 Lap,0.0,2018,Austrian Grand Prix,9
SIR,Williams,17.0,13.0,13,+2 Laps,0.0,2018,Austrian Grand Prix,9
STR,Williams,14.0,14.0,14,+2 Laps,0.0,2018,Austrian Grand Prix,9
VAN,McLaren,15.0,15.0,15,Collision damage,0.0,2018,Austrian Grand Prix,9
HAM,Mercedes,2.0,16.0,R,Fuel pressure,0.0,2018,Austrian Grand Prix,9
HAR,Toro Rosso,19.0,17.0,R,Hydraulics,0.0,2018,Austrian Grand Prix,9
RIC,Red Bull Racing,7.0,18.0,R,Exhaust,0.0,2018,Austrian Grand Prix,9
BOT,Mercedes,1.0,19.0,R,Hydraulics,0.0,2018,Austrian Grand Prix,9
HUL,Renault,10.0,20.0,R,Engine,0.0,2018,Austrian Grand Prix,9
VET,Ferrari,2.0,1.0,1,Finished,25.0,2018,British Grand Prix,10
HAM,Mercedes,1.0,2.0,2,Finished,18.0,2018,British Grand Prix,10
RAI,Ferrari,3.0,3.0,3,Finished,15.0,2018,British Grand Prix,10
BOT,Mercedes,4.0,4.0,4,Finished,12.0,2018,British Grand Prix,10
RIC,Red Bull Racing,6.0,5.0,5,Finished,10.0,2018,British Grand Prix,10
HUL,Renault,11.0,6.0,6,Finished,8.0,2018,British Grand Prix,10
OCO,Force India,10.0,7.0,7,Finished,6.0,2018,British Grand Prix,10
ALO,McLaren,13.0,8.0,8,Finished,4.0,2018,British Grand Prix,10
MAG,Haas F1 Team,7.0,9.0,9,Finished,2.0,2018,British Grand Prix,10
PER,Force India,12.0,10.0,10,Finished,1.0,2018,British Grand Prix,10
VAN,McLaren,17.0,11.0,11,Finished,0.0,2018,British Grand Prix,10
STR,Williams,19.0,12.0,12,Finished,0.0,2018,British Grand Prix,10
GAS,Toro Rosso,14.0,13.0,13,Finished,0.0,2018,British Grand Prix,10
SIR,Williams,18.0,14.0,14,Finished,0.0,2018,British Grand Prix,10
VER,Red Bull Racing,5.0,15.0,R,Brakes,0.0,2018,British Grand Prix,10
GRO,Haas F1 Team,8.0,16.0,R,Collision,0.0,2018,British Grand Prix,10
SAI,Renault,16.0,17.0,R,Collision,0.0,2018,British Grand Prix,10
ERI,Sauber,15.0,18.0,R,Accident,0.0,2018,British Grand Prix,10
LEC,Sauber,9.0,19.0,R,Tyre,0.0,2018,British Grand Prix,10
HAR,Toro Rosso,0.0,20.0,R,Power Unit,0.0,2018,British Grand Prix,10
HAM,Mercedes,14.0,1.0,1,Finished,25.0,2018,German Grand Prix,11
BOT,Mercedes,2.0,2.0,2,Finished,18.0,2018,German Grand Prix,11
RAI,Ferrari,3.0,3.0,3,Finished,15.0,2018,German Grand Prix,11
VER,Red Bull Racing,4.0,4.0,4,Finished,12.0,2018,German Grand Prix,11
HUL,Renault,7.0,5.0,5,Finished,10.0,2018,German Grand Prix,11
GRO,Haas F1 Team,6.0,6.0,6,Finished,8.0,2018,German Grand Prix,11
PER,Force India,10.0,7.0,7,Finished,6.0,2018,German Grand Prix,11
OCO,Force India,15.0,8.0,8,Finished,4.0,2018,German Grand Prix,11
ERI,Sauber,13.0,9.0,9,Finished,2.0,2018,German Grand Prix,11
HAR,Toro Rosso,17.0,10.0,10,Finished,1.0,2018,German Grand Prix,11
MAG,Haas F1 Team,5.0,11.0,11,Finished,0.0,2018,German Grand Prix,11
SAI,Renault,8.0,12.0,12,Finished,0.0,2018,German Grand Prix,11
VAN,McLaren,19.0,13.0,13,Finished,0.0,2018,German Grand Prix,11
GAS,Toro Rosso,16.0,14.0,14,+1 Lap,0.0,2018,German Grand Prix,11
LEC,Sauber,9.0,15.0,15,+1 Lap,0.0,2018,German Grand Prix,11
ALO,McLaren,11.0,16.0,16,Retired,0.0,2018,German Grand Prix,11
STR,Williams,18.0,17.0,R,Engine,0.0,2018,German Grand Prix,11
VET,Ferrari,1.0,18.0,R,Accident,0.0,2018,German Grand Prix,11
SIR,Williams,12.0,19.0,R,Engine,0.0,2018,German Grand Prix,11
RIC,Red Bull Racing,20.0,20.0,R,Engine,0.0,2018,German Grand Prix,11
HAM,Mercedes,1.0,1.0,1,Finished,25.0,2018,Hungarian Grand Prix,12
VET,Ferrari,4.0,2.0,2,Finished,18.0,2018,Hungarian Grand Prix,12
RAI,Ferrari,3.0,3.0,3,Finished,15.0,2018,Hungarian Grand Prix,12
RIC,Red Bull Racing,12.0,4.0,4,Finished,12.0,2018,Hungarian Grand Prix,12
BOT,Mercedes,2.0,5.0,5,Finished,10.0,2018,Hungarian Grand Prix,12
GAS,Toro Rosso,6.0,6.0,6,Finished,8.0,2018,Hungarian Grand Prix,12
MAG,Haas F1 Team,9.0,7.0,7,+1 Lap,6.0,2018,Hungarian Grand Prix,12
ALO,McLaren,11.0,8.0,8,+1 Lap,4.0,2018,Hungarian Grand Prix,12
SAI,Renault,5.0,9.0,9,+1 Lap,2.0,2018,Hungarian Grand Prix,12
GRO,Haas F1 Team,10.0,10.0,10,+1 Lap,1.0,2018,Hungarian Grand Prix,12
HAR,Toro Rosso,8.0,11.0,11,+1 Lap,0.0,2018,Hungarian Grand Prix,12
HUL,Renault,13.0,12.0,12,+1 Lap,0.0,2018,Hungarian Grand Prix,12
OCO,Force India,18.0,13.0,13,+1 Lap,0.0,2018,Hungarian Grand Prix,12
PER,Force India,19.0,14.0,14,+1 Lap,0.0,2018,Hungarian Grand Prix,12
ERI,Sauber,14.0,15.0,15,+2 Laps,0.0,2018,Hungarian Grand Prix,12
SIR,Williams,20.0,16.0,16,+2 Laps,0.0,2018,Hungarian Grand Prix,12
STR,Williams,15.0,17.0,17,+2 Laps,0.0,2018,Hungarian Grand Prix,12
VAN,McLaren,16.0,18.0,R,Gearbox,0.0,2018,Hungarian Grand Prix,12
VER,Red Bull Racing,7.0,19.0,R,Power loss,0.0,2018,Hungarian Grand Prix,12
LEC,Sauber,17.0,20.0,R,Suspension,0.0,2018,Hungarian Grand Prix,12
VET,Ferrari,2.0,1.0,1,Finished,25.0,2018,Belgian Grand Prix,13
HAM,Mercedes,1.0,2.0,2,Finished,18.0,2018,Belgian Grand Prix,13
VER,Red Bull Racing,7.0,3.0,3,Finished,15.0,2018,Belgian Grand Prix,13
BOT,Mercedes,19.0,4.0,4,Finished,12.0,2018,Belgian Grand Prix,13
PER,Racing Point,4.0,5.0,5,Finished,10.0,2018,Belgian Grand Prix,13
OCO,Racing Point,3.0,6.0,6,Finished,8.0,2018,Belgian Grand Prix,13
GRO,Haas F1 Team,5.0,7.0,7,Finished,6.0,2018,Belgian Grand Prix,13
MAG,Haas F1 Team,9.0,8.0,8,Finished,4.0,2018,Belgian Grand Prix,13
GAS,Toro Rosso,10.0,9.0,9,Finished,2.0,2018,Belgian Grand Prix,13
ERI,Sauber,13.0,10.0,10,+1 Lap,1.0,2018,Belgian Grand Prix,13
SAI,Renault,14.0,11.0,11,+1 Lap,0.0,2018,Belgian Grand Prix,13
SIR,Williams,16.0,12.0,12,+1 Lap,0.0,2018,Belgian Grand Prix,13
STR,Williams,17.0,13.0,13,+1 Lap,0.0,2018,Belgian Grand Prix,13
HAR,Toro Rosso,11.0,14.0,14,+1 Lap,0.0,2018,Belgian Grand Prix,13
VAN,McLaren,18.0,15.0,15,+1 Lap,0.0,2018,Belgian Grand Prix,13
RIC,Red Bull Racing,8.0,16.0,R,Retired,0.0,2018,Belgian Grand Prix,13
RAI,Ferrari,6.0,17.0,R,Brakes,0.0,2018,Belgian Grand Prix,13
LEC,Sauber,12.0,18.0,R,Accident,0.0,2018,Belgian Grand Prix,13
ALO,McLaren,15.0,19.0,R,Accident,0.0,2018,Belgian Grand Prix,13
HUL,Renault,20.0,20.0,R,Accident,0.0,2018,Belgian Grand Prix,13
HAM,Mercedes,1.0,1.0,1,Finished,25.0,2018,Singapore Grand Prix,15
VER,Red Bull Racing,2.0,2.0,2,Finished,18.0,2018,Singapore Grand Prix,15
VET,Ferrari,3.0,3.0,3,Finished,15.0,2018,Singapore Grand Prix,15
BOT,Mercedes,4.0,4.0,4,Finished,12.0,2018,Singapore Grand Prix,15
RAI,Ferrari,5.0,5.0,5,Finished,10.0,2018,Singapore Grand Prix,15
RIC,Red Bull Racing,6.0,6.0,6,Finished,8.0,2018,Singapore Grand Prix,15
ALO,McLaren,11.0,7.0,7,Finished,6.0,2018,Singapore Grand Prix,15
SAI,Renault,12.0,8.0,8,+1 Lap,4.0,2018,Singapore Grand Prix,15
LEC,Sauber,13.0,9.0,9,+1 Lap,2.0,2018,Singapore Grand Prix,15
HUL,Renault,10.0,10.0,10,+1 Lap,1.0,2018,Singapore Grand Prix,15
ERI,Sauber,14.0,11.0,11,+1 Lap,0.0,2018,Singapore Grand Prix,15
VAN,McLaren,18.0,12.0,12,+1 Lap,0.0,2018,Singapore Grand Prix,15
GAS,Toro Rosso,15.0,13.0,13,+1 Lap,0.0,2018,Singapore Grand Prix,15
STR,Williams,20.0,14.0,14,+1 Lap,0.0,2018,Singapore Grand Prix,15
GRO,Haas F1 Team,8.0,15.0,15,+1 Lap,0.0,2018,Singapore Grand Prix,15
PER,Racing Point,7.0,16.0,16,+1 Lap,0.0,2018,Singapore Grand Prix,15
HAR,Toro Rosso,17.0,17.0,17,+1 Lap,0.0,2018,Singapore Grand Prix,15
MAG,Haas F1 Team,16.0,18.0,18,+2 Laps,0.0,2018,Singapore Grand Prix,15
SIR,Williams,19.0,19.0,19,+2 Laps,0.0,2018,Singapore Grand Prix,15
OCO,Racing Point,9.0,20.0,R,Collision,0.0,2018,Singapore Grand Prix,15
HAM,Mercedes,2.0,1.0,1,Finished,25.0,2018,Russian Grand Prix,16
BOT,Mercedes,1.0,2.0,2,Finished,18.0,2018,Russian Grand Prix,16
VET,Ferrari,3.0,3.0,3,Finished,15.0,2018,Russian Grand Prix,16
RAI,Ferrari,4.0,4.0,4,Finished,12.0,2018,Russian Grand Prix,16
VER,Red Bull Racing,19.0,5.0,5,Finished,10.0,2018,Russian Grand Prix,16
RIC,Red Bull Racing,18.0,6.0,6,Finished,8.0,2018,Russian Grand Prix,16
LEC,Sauber,7.0,7.0,7,Finished,6.0,2018,Russian Grand Prix,16
MAG,Haas F1 Team,5.0,8.0,8,+1 Lap,4.0,2018,Russian Grand Prix,16
OCO,Racing Point,6.0,9.0,9,+1 Lap,2.0,2018,Russian Grand Prix,16
PER,Racing Point,8.0,10.0,10,+1 Lap,1.0,2018,Russian Grand Prix,16
GRO,Haas F1 Team,9.0,11.0,11,+1 Lap,0.0,2018,Russian Grand Prix,16
HUL,Renault,12.0,12.0,12,+1 Lap,0.0,2018,Russian Grand Prix,16
ERI,Sauber,10.0,13.0,13,+1 Lap,0.0,2018,Russian Grand Prix,16
ALO,McLaren,16.0,14.0,14,+1 Lap,0.0,2018,Russian Grand Prix,16
STR,Williams,14.0,15.0,15,+1 Lap,0.0,2018,Russian Grand Prix,16
VAN,McLaren,15.0,16.0,16,+2 Laps,0.0,2018,Russian Grand Prix,16
SAI,Renault,11.0,17.0,17,+2 Laps,0.0,2018,Russian Grand Prix,16
SIR,Williams,13.0,18.0,18,+2 Laps,0.0,2018,Russian Grand Prix,16
GAS,Toro Rosso,17.0,19.0,R,Brakes,0.0,2018,Russian Grand Prix,16
HAR,Toro Rosso,20.0,20.0,R,Brakes,0.0,2018,Russian Grand Prix,16
HAM,Mercedes,1.0,1.0,1,Finished,25.0,2018,Japanese Grand Prix,17
BOT,Mercedes,2.0,2.0,2,Finished,18.0,2018,Japanese Grand Prix,17
VER,Red Bull Racing,3.0,3.0,3,Finished,15.0,2018,Japanese Grand Prix,17
RIC,Red Bull Racing,15.0,4.0,4,Finished,12.0,2018,Japanese Grand Prix,17
RAI,Ferrari,4.0,5.0,5,Finished,10.0,2018,Japanese Grand Prix,17
VET,Ferrari,8.0,6.0,6,Finished,8.0,2018,Japanese Grand Prix,17
PER,Racing Point,9.0,7.0,7,Finished,6.0,2018,Japanese Grand Prix,17
GRO,Haas F1 Team,5.0,8.0,8,Finished,4.0,2018,Japanese Grand Prix,17
OCO,Racing Point,11.0,9.0,9,Finished,2.0,2018,Japanese Grand Prix,17
SAI,Renault,13.0,10.0,10,+1 Lap,1.0,2018,Japanese Grand Prix,17
GAS,Toro Rosso,7.0,11.0,11,+1 Lap,0.0,2018,Japanese Grand Prix,17
ERI,Sauber,20.0,12.0,12,+1 Lap,0.0,2018,Japanese Grand Prix,17
HAR,Toro Rosso,6.0,13.0,13,+1 Lap,0.0,2018,Japanese Grand Prix,17
